package	function	parameter	meaning	doc_path	source_url	fetched_at
omicverse	omicverse.generate_reference_table	adata	( AnnData ) – AnnData object that stores method references in uns['REFERENCE_MANU'] .	references/omicverse/functions/omicverse.generate_reference_table.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.generate_reference_table.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.settings.cpu_gpu_mixed_init	devices	"( int | str | None , optional ) – CUDA device to pin for the torch-backed mixed-mode kernels. Accepts an index ( 1 ), a string ( ""1"" or ""cuda:1"" ), or a single-element list. None (default) keeps the previous behaviour of using torch’s current device. On a shared multi-GPU server this lets you route omicverse to a free GPU (e.g. GPU 1 while another user holds GPU 0) without touching CUDA_VISIBLE_DEVICES . The selected device is pinned via torch.cuda.set_device so downstream kernels that resolve a bare ""cuda"" (through current_device ) land on it, and is recorded in ov.settings.device ."	references/omicverse/functions/omicverse.settings.cpu_gpu_mixed_init.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.settings.cpu_gpu_mixed_init.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.settings.gpu_init	managed_memory	( bool , optional ) – Enable NVIDIA Unified Memory to support oversubscription for large datasets.	references/omicverse/functions/omicverse.settings.gpu_init.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.settings.gpu_init.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.settings.gpu_init	pool_allocator	( bool , optional ) – Enable RMM memory pool allocator for faster repeated GPU allocations.	references/omicverse/functions/omicverse.settings.gpu_init.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.settings.gpu_init.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.settings.gpu_init	devices	( int | list [ int ] , optional ) – CUDA device index (or indices) to register in RMM.	references/omicverse/functions/omicverse.settings.gpu_init.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.settings.gpu_init.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.load	path	( str ) – Input file path.	references/omicverse/functions/omicverse.io.load.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.load.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.load	backend	( {'pickle' , 'cloudpickle'} or None , default=None ) – Preferred deserializer backend ( 'pickle' or 'cloudpickle' ).	references/omicverse/functions/omicverse.io.load.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.load.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read	path	( str or pathlib.Path ) – Input file path.	references/omicverse/functions/omicverse.io.read.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read	backend	( {'python' , 'rust'} , default='python' ) – Backend used for .h5ad reading. 'rust' loads out-of-memory via anndataoom / anndata-rs . When the file’s sparse X has unsorted minor indices the call is aborted with a clear ValueError (rather than an anndata-rs panic) pointing at ov.utils.convert_adata_for_rust() for recovery.	references/omicverse/functions/omicverse.io.read.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read.html	2026-08-03T14:16:23+00:00
omicverse	omicverse.io.read	**kwargs	– Additional keyword arguments forwarded to backend readers.	references/omicverse/functions/omicverse.io.read.md	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.io.read.html	2026-08-03T14:16:23+00:00
